Date,GeoID,County,Area,Percentage_in_Poverty ,Poverty_Category_Code,Number_of_Cases,Population_Size,Percent,Percent,Percent_Category
20201117,35037958602,Quay/DeBaca/Harding,N/A,0.27,4,46,"2,716",0.0169,2%,3
20201117,35049000900,Santa Fe,Agua Fria Neighborhood + Downtown,0.13,3,62,"3,673",0.0169,2%,3
20201117,35049010316,Santa Fe,Bellamah/Stamm,0.07,2,27,"1,617",0.0167,2%,3
20201117,35061970303,Valencia,SE,0.13,3,108,"6,452",0.0167,2%,3
20201117,35061971400,Valencia,Los Lunas,0.12,3,55,"3,286",0.0167,2%,3
20201117,35045000301,San Juan,Farmington North,0.15,3,85,"5,128",0.0166,2%,3
20201117,35061970800,Valencia,West and Belen,0.23,4,83,"4,991",0.0166,2%,3
20201117,35001004752,Bernalillo,Irving Unser,0.1,2,64,"3,868",0.0165,2%,3
20201117,35001002600,Bernalillo,Lomas Broadway,0.24,4,17,"1,039",0.0164,2%,3
20201117,35001000502,Bernalillo,Lomas San Mateo,0.26,4,76,"4,734",0.0161,2%,3
20201117,35039944100,Rio Arriba,Espanola and Pueblos,0.28,4,99,"6,162",0.0161,2%,3
20201117,35059950200,Colfax/Union,N/A,0.14,3,67,"4,163",0.0161,2%,3
20201117,35001000108,Bernalillo,Comanche Juan Tabo,0.07,2,43,"2,694",0.016,2%,3
20201117,35051962200,Sierra,N/A,0.35,5,51,"3,180",0.016,2%,3
20201117,35001001102,Bernalillo,Gibson University,0.27,4,51,"3,210",0.0159,2%,3
20201117,35001000204,Bernalillo,Comanche Carlysle,0.11,3,52,"3,314",0.0157,2%,3
20201117,35039000200,Rio Arriba,Espanola and Pueblos,0.37,5,57,"3,627",0.0157,2%,3
20201117,35001003732,Bernalillo,Paseo Ventura,0.03,1,115,"7,389",0.0156,2%,3
20201117,35045000608,San Juan,North/Aztec,0.16,3,95,"6,107",0.0156,2%,3
20201117,35001000123,Bernalillo,Indian School Pennsylvania,0.11,3,79,"5,104",0.0155,2%,3
20201117,35001004723,Bernalillo,Del Norte,0.03,1,115,"7,416",0.0155,2%,3
20201117,35035000303,Otero,Alamogordo N.E.,0.23,4,38,"2,471",0.0154,2%,3
20201117,35043940600,Sandoval,N/A,0.26,4,31,"2,039",0.0152,2%,3
20201117,35001000710,Bernalillo,East Gateway,0.07,2,91,"6,041",0.0151,2%,3
20201117,35017964700,Grant,Silver City,0.17,3,82,"5,481",0.015,2%,3
20201117,35001000114,Bernalillo,Comanche Juan Tabo,0.2,3,48,"3,239",0.0148,1%,3
20201117,35001002200,Bernalillo,Lomas Broadway,0.18,3,49,"3,304",0.0148,1%,3
20201117,35001003717,Bernalillo,Montgomery Moon,0.11,3,80,"5,415",0.0148,1%,3
20201117,35001004753,Bernalillo,Irving Unser,0.07,2,54,"3,654",0.0148,1%,3
20201117,35001004726,Bernalillo,Montano Coors,0.16,3,37,"2,526",0.0146,1%,3
20201117,35043010723,Sandoval,Rio Rancho West,0.15,3,162,"11,130",0.0146,1%,3
20201117,35001000129,Bernalillo,Indian School Juan Tabo,0.16,3,68,"4,744",0.0143,1%,3
20201117,35049010603,Santa Fe,East Foothills + Eldorado,0.12,3,35,"2,447",0.0143,1%,3
20201117,35001000118,Bernalillo,Montgomery Louisiana,0.12,3,41,"2,887",0.0142,1%,3
20201117,35001003718,Bernalillo,Montgomery Moon,0.1,2,35,"2,472",0.0142,1%,3
20201117,35001004717,Bernalillo,Alameda Coors,0.17,3,111,"7,831",0.0142,1%,3
20201117,35001004724,Bernalillo,Del Norte,0.04,1,46,"3,245",0.0142,1%,3
20201117,35001000122,Bernalillo,Indian School Pennsylvania,0.13,3,57,"4,046",0.0141,1%,3
20201117,35043010702,Sandoval,"Rio Rancho Blvd, No.",0.1,3,99,"7,027",0.0141,1%,3
20201117,35001000109,Bernalillo,Comanche Juan Tabo,0.08,2,36,"2,568",0.014,1%,3
20201117,35045000201,San Juan,Farmington North,0.08,2,60,"4,272",0.014,1%,3
20201117,35001004748,Bernalillo,Irving Unser,0.09,2,133,"9,539",0.0139,1%,3
20201117,35061970102,Valencia,NE,0.17,3,91,"6,537",0.0139,1%,3
20201117,35001000115,Bernalillo,Indian School Juan Tabo,0.23,4,46,"3,334",0.0138,1%,3
20201117,35001004747,Bernalillo,Irving Unser,0.04,1,71,"5,147",0.0138,1%,3
20201117,35039940700,Rio Arriba,Espanola and Pueblos,0.31,5,46,"3,343",0.0138,1%,3
20201117,35061970200,Valencia,NE,0.1,3,52,"3,789",0.0137,1%,3
20201117,35027960300,Lincoln,N/A,0.18,3,38,"2,801",0.0136,1%,3
20201117,35055940000,Taos,Downtown and High Road,0.25,4,26,"1,913",0.0136,1%,3
20201117,35035000306,Otero,Alamogordo N.E.,0.09,2,45,"3,329",0.0135,1%,3
20201117,35001000128,Bernalillo,Indian School Juan Tabo,0.26,4,44,"3,278",0.0134,1%,3
20201117,35031943901,Mckinley,SW,0.36,5,65,"4,849",0.0134,1%,3
20201117,35049010310,Santa Fe,South,0.1,2,18,"1,345",0.0134,1%,3
20201117,35001000117,Bernalillo,Montgomery Moon,0.16,3,31,"2,334",0.0133,1%,3
20201117,35011960100,Quay/DeBaca/Harding,N/A,0.17,3,24,"1,805",0.0133,1%,3
20201117,35001001600,Bernalillo,Gibson University,0.31,5,34,"2,571",0.0132,1%,3
20201117,35001003729,Bernalillo,Academy Tramway,0.05,1,24,"1,819",0.0132,1%,3
20201117,35043010712,Sandoval,Rio Rancho So.,0.14,3,75,"5,670",0.0132,1%,3
20201117,35001004722,Bernalillo,Del Norte,0.16,3,68,"5,183",0.0131,1%,3
20201117,35023970000,Hidalgo County/Grant County,N/A,0.21,4,25,"1,909",0.0131,1%,3
20201117,35047957800,San Miguel,Las Vegas,0.35,5,56,"4,281",0.0131,1%,3
20201117,35043010721,Sandoval,Rio Rancho West,0.14,3,63,"4,845",0.013,1%,3
20201117,35001003001,Bernalillo,Candelaria Second,0.19,3,64,"4,951",0.0129,1%,3
20201117,35043010705,Sandoval,Rio Rancho So.,0.1,2,83,"6,449",0.0129,1%,3
20201117,35001000401,Bernalillo,Lomas San Mateo,0.13,3,56,"4,430",0.0126,1%,3
20201117,35045000613,San Juan,North/Aztec,0.11,3,51,"4,074",0.0125,1%,3
20201117,35001001900,Bernalillo,Lomas Girard,0.12,3,13,"1,052",0.0124,1%,3
20201117,35043010713,Sandoval,Rio Rancho West,0.18,3,74,"5,968",0.0124,1%,3
20201117,35017964500,Hidalgo/Grant,N/A,0.23,4,35,"2,845",0.0123,1%,3
20201117,35045000900,San Juan,South,0.09,2,24,"1,973",0.0122,1%,3
20201117,35047957700,San Miguel,N/A,0.33,5,28,"2,290",0.0122,1%,3
20201117,35001001800,Bernalillo,Lomas Girard,0.46,6,35,"2,897",0.0121,1%,3
20201117,35043010703,Sandoval,"Rio Rancho Blvd, No.",0.06,2,111,"9,312",0.0119,1%,3
20201117,35043010715,Sandoval,"Rio Rancho Blvd, So.",0.13,3,46,"3,867",0.0119,1%,3
20201117,35001003725,Bernalillo,Paseo Louisiana,0.11,3,55,"4,719",0.0117,1%,3
20201117,35001000711,Bernalillo,East Gateway,0.17,3,52,"4,491",0.0116,1%,3
20201117,35001000112,Bernalillo,East Gateway,0.1,3,24,"2,095",0.0115,1%,3
20201117,35001000300,Bernalillo,Lomas Girard,0.18,3,69,"6,006",0.0115,1%,3
20201117,35021000100,Quay/DeBaca/Harding,N/A,0.18,3,8,698,0.0115,1%,3
20201117,35043010714,Sandoval,"Rio Rancho Blvd, So.",0.16,3,59,"5,133",0.0115,1%,3
20201117,35001004725,Bernalillo,Del Norte,0.08,2,43,"3,776",0.0114,1%,3
20201117,35031973100,McKinley,N/A,0.13,3,12,"1,049",0.0114,1%,3
20201117,35001000111,Bernalillo,Comanche Juan Tabo,0.05,1,32,"2,823",0.0113,1%,3
20201117,35001003100,Bernalillo,Montano Rio Grande,0.12,3,33,"2,913",0.0113,1%,3
20201117,35001003502,Bernalillo,Montano Rio Grande,0.09,2,59,"5,244",0.0113,1%,3
20201117,35031940500,Mckinley,SW,0.54,6,16,"1,414",0.0113,1%,3
20201117,35035000100,Otero,Alamogordo S.W.,0.44,6,19,"1,682",0.0113,1%,3
20201117,35001001101,Bernalillo,Lomas San Mateo,0.13,3,58,"5,186",0.0112,1%,3
20201117,35035000700,Otero,N/A,0.11,3,69,"6,182",0.0112,1%,3
20201117,35001000126,Bernalillo,Indian School Juan Tabo,0.13,3,32,"2,900",0.011,1%,3
20201117,35001000402,Bernalillo,Lomas San Mateo,0.12,3,38,"3,450",0.011,1%,3
20201117,35001003730,Bernalillo,Paseo Ventura,0.02,1,54,"4,925",0.011,1%,3
20201117,35045000609,San Juan,North/Aztec,0.16,3,14,"1,274",0.011,1%,3
20201117,35049010102,Santa Fe,Pueblos Plus,0.21,4,55,"5,014",0.011,1%,3
20201117,35061970902,Valencia,West and Belen,0.17,3,29,"2,633",0.011,1%,3
20201117,35001000116,Bernalillo,Indian School Juan Tabo,0.05,2,32,"2,938",0.0109,1%,3
20201117,35049000600,Santa Fe,Agua Fria Neighborhood + Downtown,0.07,2,23,"2,110",0.0109,1%,3
20201117,35049001301,Santa Fe,Airport Road,0.06,2,19,"1,746",0.0109,1%,3
20201117,35001003002,Bernalillo,Montano Rio Grande,0.18,3,45,"4,161",0.0108,1%,3
20201117,35017964800,Hidalgo/Grant,N/A,0.11,3,18,"1,677",0.0107,1%,3
20201117,35043010719,Sandoval,Rio Rancho So.,0.14,3,45,"4,216",0.0107,1%,3
20201117,35049001105,Santa Fe,Bellamah/Stamm,0.11,3,27,"2,528",0.0107,1%,3
20201117,35049010800,Santa Fe,East Foothills + Eldorado,0.09,2,31,"2,885",0.0107,1%,3
20201117,35001003724,Bernalillo,Paseo Louisiana,0.08,2,35,"3,330",0.0105,1%,3
20201117,35001004716,Bernalillo,Alameda Coors,0.16,3,22,"2,090",0.0105,1%,3
20201117,35017964300,Grant,Silver City,0.26,4,68,"6,454",0.0105,1%,3
20201117,35045000706,San Juan,Northeast/Bloomfield,0.34,5,33,"3,153",0.0105,1%,3
20201117,35035000304,Otero,Alamogordo N.E.,0.08,2,36,"3,466",0.0104,1%,3
20201117,35053978302,Socorro,N/A,0.32,5,36,"3,459",0.0104,1%,3
20201117,35039940800,Rio Arriba,Espanola and Pueblos,0.2,3,45,"4,360",0.0103,1%,3
20201117,35057963201,Torrance,N/A,0.23,4,41,"3,970",0.0103,1%,3
20201117,35001000801,Military Bases,N/A,0.04,1,42,"4,125",0.0102,1%,3
20201117,35049000700,Santa Fe,Agua Fria Neighborhood + Downtown,0.15,3,22,"2,163",0.0102,1%,3
20201117,35001000125,Bernalillo,East Gateway,0.04,1,43,"4,255",0.0101,1%,3
20201117,35049010315,Santa Fe,Bellamah/Stamm,0.08,2,27,"2,668",0.0101,1%,3
20201117,35035000305,Otero,Alamogordo N.E.,0.16,3,39,"3,895",0.01,1%,3
20201117,35047957600,San Miguel,Pecos/Villanueva,0.19,3,62,"6,219",0.01,1%,3
20201117,35017964400,Grant,Silver City,0.36,5,40,"4,046",0.0099,1%,3
20201117,35035000500,Otero,Alamogordo S.W.,0.23,4,51,"5,265",0.0097,1%,3
20201117,35045000610,San Juan,North/Aztec,0.22,4,42,"4,412",0.0095,1%,3
20201117,35049010204,Santa Fe,Pueblos Plus,0.04,1,21,"2,205",0.0095,1%,3
20201117,35053978100,Socorro,N/A,0.22,4,40,"4,194",0.0095,1%,3
20201117,35013001000,Dona Ana,University District,0.64,6,41,"4,369",0.0094,1%,3
20201117,35049000300,Santa Fe,Agua Fria Neighborhood + Downtown,0.16,3,14,"1,482",0.0094,1%,3
20201117,35001000119,Bernalillo,Montgomery Louisiana,0.08,2,17,"1,823",0.0093,1%,3
20201117,35001003737,Bernalillo,Academy Tramway,0.04,1,26,"2,809",0.0093,1%,3
20201117,35001003807,Bernalillo,East Mountain,0.1,3,42,"4,539",0.0093,1%,3
20201117,35035000401,Otero,Alamogordo N.E.,0.14,3,48,"5,135",0.0093,1%,3
20201117,35055952100,Taos,Northwest,0.12,3,59,"6,350",0.0093,1%,3
20201117,35043010601,Sandoval,Corrales,0.07,2,42,"4,625",0.0091,1%,3
20201117,35047957500,Mora/Guadalupe/San Miguel East,N/A,0.17,3,37,"4,145",0.0089,1%,3
20201117,35049010500,Santa Fe,East Foothills + Eldorado,0.06,2,16,"1,821",0.0088,1%,3
20201117,35051962401,Sierra/Catron,N/A,0.09,2,20,"2,290",0.0087,1%,3
20201117,35053978301,Socorro,N/A,0.28,4,24,"2,798",0.0086,1%,3
20201117,35035000200,Otero,Alamogordo S.W.,0.33,5,17,"2,004",0.0085,1%,3
20201117,35047957400,San Miguel,Las Vegas,0.33,5,37,"4,351",0.0085,1%,3
20201117,35001001700,Bernalillo,Lomas Girard,0.29,4,42,"5,011",0.0084,1%,3
20201117,35047957300,San Miguel,Las Vegas,0.41,6,26,"3,093",0.0084,1%,3
20201117,35001003738,Bernalillo,Academy Tramway,0.15,3,41,"4,920",0.0083,1%,3
20201117,35007950600,Colfax,N/A,0.3,5,26,"3,220",0.0081,1%,3
20201117,35017964600,Hidalgo/Grant,N/A,0.23,4,23,"2,874",0.008,1%,3
20201117,35039000500,Rio Arriba,North,0.26,4,28,"3,518",0.008,1%,3
20201117,35001000113,Bernalillo,Comanche Juan Tabo,0.2,4,25,"3,216",0.0078,1%,3
20201117,35049000800,Santa Fe,Agua Fria Neighborhood + Downtown,0.26,4,24,"3,085",0.0078,1%,3
20201117,35049010312,Santa Fe,South,0.15,3,37,"4,714",0.0078,1%,3
20201117,35007950700,Colfax/Union,N/A,0.23,4,39,"5,038",0.0077,1%,3
20201117,35027960200,Lincoln,N/A,0.23,4,13,"1,688",0.0077,1%,3
20201117,35049000200,Santa Fe,Opera Vicinity,0.1,2,28,"3,613",0.0077,1%,3
20201117,35049010400,Santa Fe,East Foothills + Eldorado,0.04,1,24,"3,126",0.0077,1%,3
20201117,35001003721,Bernalillo,Academy Tramway,0.02,1,48,"6,320",0.0076,1%,3
20201117,35043010602,Sandoval,Corrales,0.03,1,32,"4,274",0.0075,1%,3
20201117,35039000400,Rio Arriba,North,0.22,4,34,"4,615",0.0074,1%,3
20201117,35035000402,Otero,Alamogordo S.W,0.1,3,53,"7,325",0.0072,1%,3
20201117,35001003726,Bernalillo,Academy Tramway,0.04,1,17,"2,393",0.0071,1%,3
20201117,35001003806,Bernalillo,East Mountain,0.07,2,25,"3,533",0.0071,1%,3
20201117,35049000500,Santa Fe,Agua Fria Neighborhood + Downtown,0.09,2,16,"2,331",0.0069,1%,3
20201117,35039000300,Rio Arriba,Espanola and Pueblos,0.22,4,46,"6,771",0.0068,1%,3
20201117,35049000101,Santa Fe,Opera Vicinity,0.06,2,27,"3,956",0.0068,1%,3
20201117,35049010700,Santa Fe,East Foothills + Eldorado,0.07,2,37,"5,434",0.0068,1%,3
20201117,35001003805,Bernalillo,East Mountain,0.07,2,16,"2,433",0.0066,1%,3
20201117,35043011100,Sandoval,Bernalillo/Placitas,0.13,3,48,"7,350",0.0065,1%,3
20201117,35049010311,Santa Fe,South,0.04,1,28,"4,380",0.0064,1%,3
20201117,35057963700,Torrance,N/A,0.27,4,14,"2,207",0.0063,1%,3
20201117,35007950500,Colfax/Union,N/A,0.19,3,24,"3,889",0.0062,1%,3
20201117,35055952600,Taos,Downtown and High Road,0.17,3,48,"7,871",0.0061,1%,3
20201117,35035000901,Otero,N/A,0.15,3,19,"3,186",0.006,1%,3
20201117,35001003803,Bernalillo,East Mountain,0.04,1,19,"3,216",0.0059,1%,3
20201117,35035000603,Otero,N/A,0.17,3,16,"2,735",0.0059,1%,3
20201117,35045000611,San Juan,North/Aztec,0.04,1,20,"3,424",0.0058,1%,3
20201117,35045942803,San Juan,West,0.4,6,15,"2,625",0.0057,1%,3
20201117,35001000107,Bernalillo,East Gateway,0.04,1,15,"2,737",0.0055,1%,3
20201117,35047957200,San Miguel,Las Vegas,0.32,5,20,"3,651",0.0055,1%,3
20201117,35049940500,Santa Fe,Pueblos Plus,0.19,3,9,"1,671",0.0054,1%,3
20201117,35001940500,Bernalillo,Paseo Ventura,0.05,1,15,"2,852",0.0053,1%,3
20201117,35035000601,Military Bases,N/A,0.11,3,19,"3,678",0.0052,1%,3
20201117,35045000702,San Juan,South,0.11,3,6,"1,143",0.0052,1%,3
20201117,35028000100,Los Alamos,N/A,0.05,1,20,"3,994",0.005,1%,3
20201117,35001003804,Bernalillo,East Mountain,0.04,1,27,"5,512",0.0049,0%,4
20201117,35049940300,Santa Fe,Pueblos Plus,0.14,3,9,"1,843",0.0049,0%,4
20201117,35017964100,Hidalgo/Grant,N/A,0.15,3,11,"2,281",0.0048,0%,4
20201117,35039000100,Rio Arriba,Espanola and Pueblos,0.27,4,15,"3,216",0.0047,0%,4
20201117,35028000400,Los Alamos,N/A,0.11,3,16,"3,481",0.0046,0%,4
20201117,35028000200,Los Alamos,N/A,0.06,2,24,"5,323",0.0045,0%,4
20201117,35028000500,Los Alamos,N/A,0.02,1,26,"6,011",0.0043,0%,4
20201117,35017964200,Hidalgo/Grant,N/A,0.1,2,8,"1,969",0.0041,0%,4
20201117,35033955200,Mora/Guadalupe/San Miguel East,N/A,0.19,3,18,"4,505",0.004,0%,4
20201117,35045943100,San Juan,South,0.29,4,7,"1,816",0.0039,0%,4
20201117,35003976400,Sierra/Catron,N/A,0.23,4,13,"3,518",0.0037,0%,4
20201117,35045942801,San Juan,West,0.3,4,10,"2,717",0.0037,0%,4
20201117,35035000602,Otero,N/A,0.15,3,8,"2,223",0.0036,0%,4
20201117,35049010309,Santa Fe,South,0.1,2,6,"1,824",0.0033,0%,4
20201117,35013001900,Military Bases,N/A,0.02,1,5,"1,840",0.0027,0%,4
20201117,35055952300,Taos,Northwest,0.38,5,7,"2,922",0.0024,0%,4
20201117,35049010203,Santa Fe,Pueblos Plus,0.18,3,2,"1,317",0.0015,0%,4
20201117,35049010602,Santa Fe,East Foothills + Eldorado,0.07,2,4,"3,189",0.0013,0%,4
20201117,35043940300,Los Alamos County,N/A,N/A,N/A,N/A,N/A,,,4
